PUMA,pop_with_accessible_transit,fraction_with_accessible_transit
3701,26984,0.23732629727352683
3702,48787,0.32807025802069817
3703,15884,0.12826538110580843
3704,54384,0.41721198916770874
3705,70314,0.3949448142219227
3706,101866,0.7564681419872271
3707,82266,0.5867592936007532
3708,83601,0.5773988355468993
3709,82763,0.4162961249044304
3710,106740,0.6689604602628462
3801,159204,0.8432415254237288
3802,104731,0.8245107146793469
3803,103838,0.7745174090759913
3804,91542,0.7494657900984911
3805,187952,0.8101972989400086
3806,166214,0.7999518721724901
3807,143415,0.7767276863084922
3808,156151,0.9530758854729338
3809,151632,0.9232511553425842
3810,136356,0.8033274615733568
3901,33757,0.20519974712475988
3902,26816,0.1894106345708312
3903,9281,0.04893416217185218
4001,86929,0.4933345440306004
4002,81888,0.5982947197685378
4003,94042,0.6137069618105406
4004,86688,0.568934625809712
4005,45871,0.3975301152612878
4006,94129,0.6833420448935738
4007,69125,0.5154389340014466
4008,76395,0.4503280418290174
4009,70254,0.34437391240410775
4010,51576,0.36033870832518233
4011,77850,0.704575896897513
4012,64272,0.41390502440720756
4013,35320,0.265278685323299
4014,66760,0.3781514985017814
4015,85044,0.5231641824098624
4016,74551,0.47577747570089285
4017,125925,0.6342965944178878
4018,46362,0.38601545327382936
4101,81331,0.43690405204321175
4102,62893,0.3310854916824595
4103,51669,0.19070977743328535
4104,0,0.0
4105,1,5.012280086211217e-06
4106,45162,0.27407286034190836
4107,61494,0.40166166989986873
4108,48271,0.4032462867358361
4109,86923,0.5360554537998063
4110,32722,0.18251082057917986
4111,56240,0.37030208854591906
4112,29713,0.11833322713225221
4113,33990,0.26070349292058476
4114,52159,0.42001046825300964
