puma,DHS_shelter_2020
03701,306.0
03702,1911.0
03703,532.0
03704,734.0
03705,3507.0
03706,1305.0
03707,1981.0
03708,2122.0
03709,1817.0
03710,2895.0
03801,704.0
03802,698.0
03803,1404.0
03804,1317.0
03805,120.0
03806,321.0
03807,435.0
03808,145.0
03809,603.0
03810,555.0
03901,55.0
03902,82.0
03903,923.0
04001,446.0
04002,716.0
04003,1662.0
04004,432.0
04005,292.0
04006,771.0
04007,1563.0
04008,2478.0
04009,782.0
04010,1209.0
04011,570.0
04012,207.0
04013,132.0
04014,156.0
04015,491.0
04016,178.0
04017,196.0
04018,456.0
04101,750.0
04102,283.0
04103,201.0
04104,33.0
04105,686.0
04106,299.0
04107,233.0
04108,67.0
04109,376.0
04110,203.0
04111,313.0
04112,1706.0
04113,264.0
04114,1045.0
