puma,health_0004_overdosemortality_wnh,health_0004_overdosemortality_bnh,health_0004_overdosemortality_anh,health_0004_overdosemortality_hsp,health_0004_overdosemortality,health_1014_overdosemortality_wnh,health_1014_overdosemortality_bnh,health_1014_overdosemortality_anh,health_1014 _overdosemortality_hsp,health_1014_overdosemortality,health_1519_overdosemortality_wnh,health_1519_overdosemortality_bnh,health_1519_overdosemortality_anh,health_1519_overdosemortality_hsp,health_1519_overdosemortality
03701,,0.0,0.0,0.0,,8.0,,,,7.0,16.9,,,15.6,15.9
03702,0.0,,0.0,0.0,,,4.8,0.0,,6.2,60.2,14.9,0.0,36.7,23.0
03703,0.0,0.0,0.0,0.0,0.0,17.9,,0.0,,9.0,37.1,11.3,,22.4,23.0
03704,0.0,,0.0,0.0,,11.4,13.5,,8.0,9.6,29.8,15.5,,23.8,22.0
03705,0.0,0.0,0.0,0.0,0.0,49.8,16.4,0.0,12.8,15.9,93.2,51.1,,28.9,38.1
03706,,0.0,0.0,0.0,,,,0.0,11.4,11.2,68.3,28.5,,31.6,31.7
03707,,,0.0,,,,10.6,0.0,9.1,10.0,341.3,46.0,,32.2,40.0
03708,0.0,,0.0,,,,9.2,0.0,11.5,11.2,,28.5,0.0,27.0,28.2
03709,,0.0,0.0,,,,7.8,0.0,10.2,9.2,98.4,23.3,,21.4,22.8
03710,0.0,0.0,0.0,,,,20.6,0.0,11.4,16.1,195.0,60.5,0.0,29.0,38.5
03801,,0.0,0.0,,,11.8,,0.0,6.2,8.1,24.3,26.9,0.0,17.2,19.2
03802,0.0,,0.0,,,,,0.0,,6.1,23.7,32.2,,22.0,23.1
03803,0.0,,0.0,0.0,,30.8,17.3,0.0,,16.7,25.8,32.2,,29.5,30.1
03804,,,0.0,0.0,,,24.3,0.0,10.6,14.9,32.1,44.4,,29.6,33.2
03805,,0.0,0.0,0.0,,4.9,,0.0,,4.7,6.5,,,,7.1
03806,,0.0,0.0,,,3.0,,,,4.7,6.1,31.3,,21.4,10.4
03807,,0.0,0.0,,,7.6,,0.0,,7.5,12.1,28.2,,18.8,13.1
03808,,0.0,0.0,0.0,,3.9,,,,5.2,8.9,,,,9.5
03809,,0.0,0.0,,,16.4,,,11.2,9.8,23.1,50.2,,37.3,20.3
03810,,0.0,0.0,0.0,,6.4,,,,5.4,6.8,,0.0,,6.9
03901,,0.0,0.0,0.0,,20.4,0.0,,,18.9,30.6,,0.0,,28.1
03902,,0.0,0.0,0.0,,21.4,,,,17.6,28.1,,,16.7,23.4
03903,,,0.0,0.0,,25.2,10.7,,9.8,15.8,39.8,22.4,,19.4,26.9
04001,0.0,0.0,0.0,,,9.5,,0.0,13.9,10.2,11.7,,0.0,19.4,13.5
04002,0.0,,0.0,,,,,,8.4,10.5,36.2,29.6,,12.3,17.9
04003,0.0,,0.0,0.0,,30.2,10.4,0.0,20.5,13.8,23.4,15.9,,35.6,20.4
04004,,,0.0,0.0,,,11.1,,,6.3,7.0,18.2,,17.4,10.8
04005,0.0,,0.0,0.0,,5.0,,0.0,,7.6,6.2,30.8,0.0,28.2,11.7
04006,0.0,0.0,0.0,,,,10.8,0.0,,9.7,24.7,13.5,,28.0,17.2
04007,0.0,,0.0,0.0,,,16.0,0.0,21.0,19.8,393.9,20.7,0.0,39.7,28.4
04008,0.0,,0.0,,,,9.1,0.0,8.5,9.1,59.7,24.7,,18.2,22.1
04009,,0.0,0.0,0.0,,18.3,,0.0,,6.7,25.1,4.0,0.0,26.1,11.1
04010,0.0,,0.0,0.0,,,4.2,0.0,,4.2,,6.2,,,8.0
04011,0.0,0.0,0.0,0.0,0.0,,,0.0,,4.6,26.8,9.9,0.0,,14.2
04012,0.0,0.0,0.0,0.0,0.0,11.9,,,8.9,7.2,16.4,,,13.9,11.3
04013,,0.0,0.0,0.0,,16.1,,0.0,,11.6,17.7,0.0,,,12.7
04014,,0.0,0.0,0.0,,3.3,0.0,,,3.1,7.2,,,13.0,7.2
04015,,,0.0,0.0,,6.6,,0.0,,5.2,12.3,5.6,,14.1,9.2
04016,,0.0,0.0,0.0,,9.2,,0.0,,7.3,16.0,,,,13.0
04017,,0.0,0.0,0.0,,12.5,0.0,,,6.9,19.8,,,,12.0
04018,,0.0,,0.0,,16.4,,0.0,,13.0,22.3,,,,18.3
04101,,0.0,0.0,0.0,,8.1,,,5.7,6.9,15.5,17.8,,8.3,11.6
04102,,,0.0,,,18.2,,0.0,,3.9,21.9,,,6.9,8.2
04103,,0.0,0.0,0.0,,13.8,,,7.3,5.3,23.9,,3.8,15.6,11.5
04104,,0.0,0.0,,,12.8,,0.0,,7.2,16.6,,,,10.2
04105,,,0.0,0.0,,,,0.0,,3.1,21.5,6.2,,,7.7
04106,0.0,,0.0,0.0,,11.5,,,,5.8,13.0,,,14.0,8.7
04107,0.0,0.0,0.0,,,,,,3.6,3.2,29.3,,,7.8,7.0
04108,0.0,,0.0,0.0,,10.0,0.0,,,6.5,11.5,0.0,,,8.7
04109,,,0.0,0.0,,8.5,,,,4.0,12.7,0.0,,,6.0
04110,,0.0,0.0,0.0,,15.8,,0.0,,10.7,23.1,,,10.5,17.3
04111,,0.0,0.0,,,18.2,,,,5.7,36.4,,,11.5,14.5
04112,0.0,,0.0,0.0,,,7.0,,,6.8,,15.2,,18.4,15.4
04113,,0.0,0.0,0.0,,19.7,,,,8.2,26.8,,,11.8,12.3
04114,,,0.0,,,20.8,7.5,0.0,,11.9,30.7,18.5,0.0,24.4,23.0
